"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Comparison between Code Clone Detection and Model Clone Detection","G. Shobha; A. Rana; V. Kansal; S. Tanwar","Amity Institute of Information Technology, Amity University, Uttar Pradesh, India; Amity Institute of Information Technology, Amity University, Uttar Pradesh, India; Institute of Engineering and Technology, Dr APJ Abdul Kalam Technical Univerity, Lucknow, Uttar Pradesh, India; Amity Institute of Information Technology, Amity University, Uttar Pradesh, India","2021 9th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)","15 Nov 2021","2021","","","1","5","In software, clones are syntactically or semantically identical of two code fragments. Cloning by either deliberately or by coincidence. Cloning has pros and cons in software development. Bug propagation may be caused by cloning from original to copied segments. Cloning may lead to difficulties in software maintenance. Cloning is helpful in many functions like code reusability, inheritance, and libraries. Software developers before scripting the code design the model for it. Cloning can exist at any stage either at the design or coding phase, which influences on development, quality, and maintenance of the software. All software has constraints like budget and time are associated. In software development, life cycle budget and time constraints depend on irregularity and risk. These irregularities and risks can be minimized by identifying clones. There are different kinds of clones in Code and Model. In this paper, we present a concise summary of design and coding phase clone detection of these irregularities and risk as well as their for's and against of code clone detection and model clone detection.","","978-1-6654-1703-7","10.1109/ICRITO51393.2021.9596454","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9596454","Software clone;Code clone;model clone;Code Clone detection;Model clone detection","Computer languages;Software maintenance;Codes;Redundancy;Cloning;Software systems;Software","C language;software maintenance;software reusability","model clone detection;code clone detection;code fragments;software development;software maintenance;code design;coding phase clone detection;code reusability;software quality","","","","21","IEEE","15 Nov 2021","","","IEEE","IEEE Conferences"
"SCCD-GAN: An Enhanced Semantic Code Clone Detection Model Using GAN","K. Xu; Y. Liu","School of Software Engineering, Tongji University, Cao’an Highway 4800, Shanghai, China; School of Software Engineering, Tongji University, Cao’an Highway 4800, Shanghai, China","2021 IEEE 4th International Conference on Electronics and Communication Engineering (ICECE)","18 Jan 2022","2021","","","16","22","Code clone refers to a pair of semantically similar but syntactically similar or different code fragments that exist in code base. Excessive code clones in software system will cause a negative impact on system development and maintenance. In recent years, as deep learning has become a hot research area of machine learning, researchers have tried to apply deep learning techniques to code clone detection tasks. They have proposed a series of detection techniques using including unstructured (code in the form of sequential tokens) and structured (code in the form of abstract syntax trees and control-flow graphs) information to detect semantically similar but syntactically different code clone, which is the most difficult-to-detect clone type. However, although these methods have achieved an important improvement in the precision of semantic code clone detection, the corresponding false positive rate(FPR) is also at a very high level, making these methods unable to be effectively applied to real-world code bases. This paper proposed SCCD-GAN, an enhanced semantic code clone detection model which based on a graph representation form of programs and uses Graph Attention Network to measure the similarity of code pairs and achieved a lower detection FPR than existing methods. We built the graph representation of the code by expanding the control flow and data flow information to the original abstract syntax tree, and equipped with an attention mechanism to our model that focuses on the most important code parts and features which contribute much to the final detection precision.We implemented and evaluated our proposed method based on the benchmark dataset in the field of code clone detection-BigCloneBench2 and Google Code Jam. SCCD-GAN performed better than the existing state-of-the-art methods in terms of precision and false positive rate.","","978-1-7281-9422-6","10.1109/ICECE54449.2021.9674552","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9674552","Semantic Code Clone Detection;Graph Attention Network;Abstract Syntax Tree;Deep Learning","Deep learning;Codes;Semantics;Cloning;Syntactics;Maintenance engineering;Software systems","graph theory;learning (artificial intelligence);object detection;program diagnostics;software maintenance;trees (mathematics)","SCCD-GAN;enhanced semantic code clone detection model;semantically similar but syntactically similar code fragments;different code fragments;code base;excessive code clones;deep learning techniques;code clone detection tasks;detection techniques;control-flow graphs;semantically similar but syntactically different code clone;clone type;real-world code bases;code pairs;lower detection FPR;important code parts;final detection precision;code clone detection-BigCloneBench2;Google Code Jam","","","","20","IEEE","18 Jan 2022","","","IEEE","IEEE Conferences"
"A Review on Distance Measure Formula for Enhancing Match Detection Process of Generic Code Clone Detection Model in Java Application","N. A. Abdullah; M. Azwan Mohamad Hamza; A. -F. M. Ali","Faculty of Computing,, College of Computing and Applied Science Universiti Malaysia Pahang, Pekan, Pahang; Faculty of Computing, College of Computing and Applied Science Universiti Malaysia Pahang, Pekan, Pahang; Faculty of Computing, College of Computing and Applied Science Universiti Malaysia Pahang, Pekan, Pahang","2021 International Conference on Software Engineering & Computer Systems and 4th International Conference on Computational Science and Information Management (ICSECS-ICOCSIM)","17 Sep 2021","2021","","","285","290","Two code fragments that are identical to each other and repeatedly being implemented in a software program are called code clones. Code clones are classified into four different type which are clone Type-1, clone Type-2, clone Type-3 and clone Type-4. In the past decades, variegated code clone approaches as well as tools have been utilized for detecting code clones. However, the minimum comprehensiveness or lacking of generality in detecting all four types of code clone, has prompted other researchers to develop a code clone detection model. Generic Code Clone Detection (GCCD) Model is the model that implemented a clone detection for the four types of code clone. GCCD incorporates with process namely Pre-processing, Transformation, Parameterization, Categorization and Match Detection process. This research study intends to ameliorate the code clone detection of GCCD Model through Match Detection process of the respective model. A literature review is done to center a few other models and techniques and distance measure formula that available for calculating the code clones in Match Detection process. Based on the analysis, there are ten distance measure formula will be used to decide on the best method for calculating the code clone in Match Detection process. This study hopes to be used as reference for other researchers in aiding their research regarding code clone detection model.","","978-1-6654-1407-4","10.1109/ICSECS52883.2021.00058","Universiti Malaysia Pahang; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9537034","code duplication;code clone;code clone detection model;java application;distance measure method","Java;Codes;Scientific computing;Computational modeling;Bibliographies;Cloning;Tools","distance measurement;Java;software maintenance;software metrics","clone Type-3;variegated code clone approaches;Generic Code Clone Detection Model;Match Detection process;Distance Measure Formula;Java Application;software program;GCCD Model","","","","38","","17 Sep 2021","","","IEEE","IEEE Conferences"
"A Review on Distance Measure Formula for Enhancing Match Detection Process of Generic Code Clone Detection Model in Java Application","N. A. Abdullah; M. A. M. Hamza; A. -F. M. Ali","Faculty of Computing, College of Computing and Applied Science, Universiti Malaysia Pahang, Pekan, Pahang; Faculty of Computing, College of Computing and Applied Science, Universiti Malaysia Pahang, Pekan, Pahang; Faculty of Computing, College of Computing and Applied Science, Universiti Malaysia Pahang, Pekan, Pahang","2021 International Conference on Software Engineering & Computer Systems and 4th International Conference on Computational Science and Information Management (ICSECS-ICOCSIM)","17 Sep 2021","2021","","","285","290","Two code fragments that are identical to each other and repeatedly being implemented in a software program are called code clones. Code clones are classified into four different type which are clone Type-1, clone Type-2, clone Type-3 and clone Type-4. In the past decades, variegated code clone approaches as well as tools have been utilized for detecting code clones. However, the minimum comprehensiveness or lacking of generality in detecting all four types of code clone, has prompted other researchers to develop a code clone detection model. Generic Code Clone Detection (GCCD) Model is the model that implemented a clone detection for the four types of code clone. GCCD incorporates with process namely Pre-processing, Transformation, Parameterization, Categorization and Match Detection process. This research study intends to ameliorate the code clone detection of GCCD Model through Match Detection process of the respective model. A literature review is done to center a few other models and techniques and distance measure formula that available for calculating the code clones in Match Detection process. Based on the analysis, there are ten distance measure formula will be used to decide on the best method for calculating the code clone in Match Detection process. This study hopes to be used as reference for other researchers in aiding their research regarding code clone detection model.","","978-1-6654-1407-4","10.1109/ICSECS52883.2021.00132","Ministry of Higher Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9536991","code duplication;code clone;code clone detection model;java application;distance measure method","Java;Codes;Scientific computing;Computational modeling;Bibliographies;Cloning;Tools","Java;software maintenance;software metrics","clone Type-3;variegated code clone approaches;generic code clone detection model;match detection process;GCCD;clone Type-1;clone Type-2;clone Type-4","","","","39","","17 Sep 2021","","","IEEE","IEEE Conferences"
"Semantic Code Clone Detection Via Event Embedding Tree and GAT Network","B. Li; C. Ye; S. Guan; H. Zhou","School of Computer Science and CyberSpace Security, Hainan University, Haikou, China; School of Computer Science and CyberSpace Security, Hainan University, Haikou, China; School of Computer Science and CyberSpace Security, Hainan University, Haikou, China; School of Computer Science and CyberSpace Security, Hainan University, Haikou, China","2020 IEEE 20th International Conference on Software Quality, Reliability and Security (QRS)","11 Dec 2020","2020","","","382","393","Semantic code clone detection is an important yet challenging task in software engineering. Traditional methods rely on expert experience and cannot automatically determine which features are better for semantic code clone detection. Moreover, the program dynamics (e.g., the execution characteristics and execution order of statements) are not considered in these methods. As a result, this limits their ability to detect semantic clones. To address this issue, we propose a code clone detection method based on event embedding tree and Graph Attention Network. Our method uses a program control flow graph to capture the execution characteristics of each statement and extract the context relationship of different statements in the control flow. Based on such information, our method can calculate the functional similarity of two pieces of code, thereby identifying semantically similar code fragments. Experimental results show that our method is superior to state-of-the-art open source methods for Type-3 (syntactic) / Type-4 (semantic) clone detection.","","978-1-7281-8913-0","10.1109/QRS51102.2020.00057","Research and Development; National Natural Science Foundation of China; Natural Science Foundation of Hainan Province; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9282778","code clone detection;event embedding;graph attention network","Semantics;Cloning;Software quality;Syntactics;Software reliability;Task analysis;Software engineering","program diagnostics;software maintenance;trees (mathematics)","semantic code clone detection;execution characteristics;semantic clones;code clone detection method;semantically similar code fragments;event embedding tree;GAT network;graph attention network;program control flow graph;software engineering","","","","29","","11 Dec 2020","","","IEEE","IEEE Conferences"
"CloneTM: A Code Clone Detection Tool Based on Latent Dirichlet Allocation","S. Reddivari; M. S. Khan","School of Computing, University of North Florida, Jacksonville, USA; School of Computing, University of North Florida, Jacksonville, USA","2019 IEEE 43rd Annual Computer Software and Applications Conference (COMPSAC)","9 Jul 2019","2019","1","","930","931","A plethora of clone detection techniques have been proposed in the literature to support a variety of programming languages and adopt different clone detection strategies at different levels of complexity. However, despite these major advances, these techniques are still far from achieving optimal accuracy. This requires developers to manually classify and verify the detected candidate clones, a process that is often described as time-consuming and error-prone. This paper describes CloneTM, a code clone detection tool based on Latent Dirichlet Allocation (LDA). We discuss the key features of CloneTM and present our evaluation on two datasets.","0730-3157","978-1-7281-2607-4","10.1109/COMPSAC.2019.00146","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8754305","Code Clones;Code Refactoring;Latent Dirichlet Allocation;Topic Modeling;Visualization","Cloning;Tools;Software;Measurement;Resource management;Visualization;Java","software maintenance;source code (software)","CloneTM;code clone detection tool;clone detection techniques;latent Dirichlet allocation;clone detection strategies;code refactoring","","","","8","","9 Jul 2019","","","IEEE","IEEE Conferences"
"Vulnerable Code Clone Detection for Operating System Through Correlation-Induced Learning","H. Shi; R. Wang; Y. Fu; Y. Jiang; J. Dong; K. Tang; J. Sun","School of Software, Tsinghua University, Beijing, China; School of Software, Tsinghua University, Beijing, China; School of Software, Tsinghua University, Beijing, China; School of Software, Tsinghua University, Beijing, China; School of Computer Science and Engineering, Central South University, Changsha, China; School of Electronic and Information Engineering, South China University of Technology, Guangzhou, China; School of Software, Tsinghua University, Beijing, China","IEEE Transactions on Industrial Informatics","5 Dec 2019","2019","15","12","6551","6559","Vulnerable code clones in the operating system (OS) threaten the safety of smart industrial environment, and most vulnerable OS code clone detection approaches neglect correlations between functions that limits the detection effectiveness. In this article, we propose a two-phase framework to find vulnerable OS code clones by learning on correlations between functions. On the training phase, functions as the training set are extracted from the latest code repository and function features are derived by their AST structure. Then, external and internal correlations are explored by graph modeling of functions. Finally, the graph convolutional network for code clone detection (GCN-CC) is trained using function features and correlations. On the detection phase, functions in the to-be-detected OS code repository are extracted and the vulnerable OS code clones are detected by the trained GCN-CC. We conduct experiments on five real OS code repositories, and experimental results show that our framework outperforms the state-of-the-art approaches.","1941-0050","","10.1109/TII.2019.2929739","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8765764","Cyber-physical security;correlation modeling;graph convolutional network;vulnerable code clone detection","Cloning;Correlation;Training;Feature extraction;Detectors;Informatics;Operating systems","convolutional neural nets;graph theory;learning (artificial intelligence);operating systems (computers);security of data;software engineering","correlation-induced;vulnerable code clones;operating system;vulnerable OS code clone detection;neglect correlations;detection effectiveness;vulnerable OS code clones;training phase;latest code repository;function features;external correlations;internal correlations;detection phase;OS code repository;vulnerable code clone detection","","2","","27","IEEE","18 Jul 2019","","","IEEE","IEEE Journals"
"Fast Code Clone Detection Based on Weighted Recursive Autoencoders","J. Zeng; K. Ben; X. Li; X. Zhang","College of Electronic Engineering, Naval University of Engineering, Wuhan, China; College of Electronic Engineering, Naval University of Engineering, Wuhan, China; Jinghang Research Institute of Computing and Communication, Beijing, China; College of Electronic Engineering, Naval University of Engineering, Wuhan, China","IEEE Access","12 Sep 2019","2019","7","","125062","125078","Code cloning considerably facilitates software development but also leads to recurring bugs and other software quality problems. In this paper, we propose a fast code clone detection method based on weighted recursive autoencoders (RAE) to measure code similarity at the function level. Different from manually defining features for code clone detection, our deep learning-based method can automatically learn program features. First, we analyze program abstract syntax trees using weighted RAE, extract the program features and encode the functions to vectors. During the modeling process, we consider node weight information in abstract syntax trees to increase the proportion of information contributed by important nodes in the final vector representation of one program. Second, we report functions with similar vectors as code clone pairs. The second phase is time consuming when analyzing large software systems because it needs quadratic pairwise comparisons. To solve this problem, we transform the clone detection problem into an approximate nearest neighbors search (ANNS) in a high-dimensional vector set and use the navigating spreading-out graph to reduce the computational time complexity. Experimental results on BigCloneBench show that our method outperforms the compared algorithm based on unweighted RAE in terms of precision, recall, and AUC value and can return clone pairs in approximately 33 min, while the compared algorithm requires approximately 14 days when performing pairwise comparisons among 785,438 functions' vectors. Our method also outperforms many prominent tools, including Oreo, in detecting Moderately Type-3 or Type-4 clones, and our false positive rate (FPR) equals 0.055, which means few false positives. More importantly, our method has no need for labeled data, and all of the source code is released to guarantee experimental reproducibility.","2169-3536","","10.1109/ACCESS.2019.2938825","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8822436","Code clone;fast code clone detection;abstract syntax tree;weighted recursive autoencoders;navigating spreading-out graph","Cloning;Feature extraction;Computer bugs;Syntactics;Measurement;Deep learning;Navigation","computational complexity;computational linguistics;feature extraction;nearest neighbour methods;neural nets;program diagnostics;software metrics;software quality;source code (software);trees (mathematics);vectors","BigCloneBench;computational time complexity;navigating spreading-out graph;ANNS;program features extraction;vector representation;high-dimensional vector set;approximate nearest neighbors search;node weight information;weighted RAE;program abstract syntax trees;deep learning-based method;code similarity;fast code clone detection method;software quality problems;recurring bugs;software development;weighted recursive autoencoders;source code;unweighted RAE","","11","","35","CCBY","2 Sep 2019","","","IEEE","IEEE Journals"
"Structural Function Based Code Clone Detection Using a New Hybrid Technique","Y. Yang; Z. Ren; X. Chen; H. Jiang","School of Software, Dalian University of Technology, Dalian, China; School of Software, Dalian University of Technology, Dalian, China; School of Software, Dalian University of Technology, Dalian, China; School of Software, Dalian University of Technology, Dalian, China","2018 IEEE 42nd Annual Computer Software and Applications Conference (COMPSAC)","22 Jun 2018","2018","01","","286","291","In this paper, we focus on investigating function based code clone detection and leveraging the structural information to measure the similarity of code fragments in the function level. The method first combines a variant of Abstract Syntax Tree(AST) to achieve more abstract code representations by using defined node types instead of the original node representations, and then adopts a local comparison algorithm, namely Smith Waterman, to calculate the similarity scores of pairs of code fragments in the function level. Experiments conducted over the five open-source datasets show that our method can achieve 92.46% in precision on average, and outperform the comparative algorithms by up to 10.94% and 4.02%, respectively. Meanwhile, experimental results show that our method can achieve 90.73% in precision on average in code clone detection over cross-projects.","0730-3157","978-1-5386-2667-2","10.1109/COMPSAC.2018.00045","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8377669","code clone, structural clone, Abstract Syntax Tree, Smith Waterman, function based code clone detection","Cloning;Software;Measurement;Manuals;Syntactics;Estimation;Transforms","encoding;software maintenance;trees (mathematics)","structural function;function based code clone detection;structural information;code fragments;abstract code representations;local comparison algorithm;abstract syntax tree;AST","","7","","17","","22 Jun 2018","","","IEEE","IEEE Conferences"
"To enhance the code clone detection algorithm by using hybrid approach for detection of code clones","Roopam; G. Singh","Lovely Professional University, Phagwara, Punjab, IN; Lovely Professional University, Phagwara, Punjab, IN","2017 International Conference on Intelligent Computing and Control Systems (ICICCS)","11 Jan 2018","2017","","","192","198","Code clones are easy and quick way to add some existing logic from one section to another section. Code clones however increase risk of bug multiplication with each copy of duplicate code if there is a bug in source of clone. Clone is a persistent form of software reuses that effect on maintenance of large software. In previous research, the researchers emphasize on detecting type 1, type 2, type 3 and type 4 type of clones. The existing code clone detection techniques are available like text based, token based, abstract syntax tree, program dependency graph and metric based technique are used to detect clone in source code. In this research, the enhancement in code clone detection algorithm has been proposed which detects code clones by HYBRID approach that is combination of program dependency graph and Metric based clone detection techniques. In this work, firstly implementation of code clone detection will be done by hybrid approach on various datasets. Then, comparison of existing technique will be done with the hybrid technique in terms of achieving enhancement in performance, efficiency and accuracy in results. This method is considered to be the least complex and is to provide a most accurate and efficient way of Clone Detection. The results obtained have been compared with an existing tool for the open source of web applications.","","978-1-5386-2745-7","10.1109/ICCONS.2017.8250708","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8250708","Code clone;parsing;plagiarism;refactoring;reuse;semantic;syntactic;similarity","Cloning;Measurement;Software;Computer bugs;Syntactics;Algorithm design and analysis;Control systems","program debugging;software maintenance;software metrics;software reusability","HYBRID approach;source code;duplicate code;hybrid approach;code clone detection algorithm","","2","","19","","11 Jan 2018","","","IEEE","IEEE Conferences"
