Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Review Sharing via Deep Semi-Supervised Code Clone Detection,C. Guo; H. Yang; D. Huang; J. Zhang; N. Dong; J. Xu; J. Zhu,"College of Computer Science, Nankai University, Tianjin, China; College of Computer Science, Nankai University, Tianjin, China; College of Computer Science, Nankai University, Tianjin, China; College of Artificial Intelligence, Nankai University, Tianjin, China; School of Computing, National University of Singapore, Singapore; College of Artificial Intelligence, Nankai University, Tianjin, China; College of Software, Nankai University, Tianjin, China",IEEE Access,7 Feb 2020,2020,8.0,,24948,24965,"Code review as a typical type of user feedback has recently drawn increasing attentions for improving code quality. To carry out research on code review, sufficient review data is normally required. As a result, recent efforts commonly focus on analysis for projects with sufficient reviews (called “s-projects”), rather than projects with extremely few ones (called “f-projects”). Actually, through statistics on public platforms, the latter ones dominate open source software, in which novel approaches should be explored to improve their review-based code improvement. In this paper, we try to address the problem via building a review sharing channel where the informative review can be reasonably delivered from s-projects to the f-projects. To ensure the accuracy of shared reviews, we introduce a novel code clone detection model based on Convolutional Neural Network (CNN), and build suitable “s-projects, f-projects” pairs through the clone detection. Especially, to alleviate the dataset heterogeneity between the training and testing, an autoencoder-based semi-supervised learning strategy is employed. Furthermore, to improve the sharing experience, heuristic filtering tactics are applied to reduce the time cost. Meanwhile, the LDA (Latent Dirichlet Allocation)-based ranking algorithm is used for presenting diverse review themes. We have implemented the sharing channel as a prototype system RSharer+, which contains three representative modules: data preprocessing, code clone detection and review presentation. The collected datasets are first transformed into context-sensitive numerical vectors in the data proprecessing. Then in the clone detection, data vectors are trained and tested on the BigCloneBench and real code-review pairs. At last, the presentation module provides review classification and theme extraction for better sharing experience. Extensive comparative experiments on hundreds of real labelled code fragments demonstrate the precision of clone detection and the effectiveness of review sharing.",2169-3536,,10.1109/ACCESS.2020.2966532,"Science and Technology Planning Project of Tianjin, China(grant numbers:17JCZDJC30700,17YFZCGX00610,18ZXZNGX00310); Natural Science Foundation of Tianjin City(grant numbers:19JCQNJC00300); Fundamental Research Funds for the Central Universities(grant numbers:63191402); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8959206,Code clone;software review;deep learning;semi-supervised CNN;review sharing,Cloning;Deep learning;Computational modeling;Syntactics;Computer bugs;Software;Testing,convolutional neural nets;learning (artificial intelligence);public domain software;software maintenance;software quality,RSharer+;sharing channel;latent Dirichlet allocation-based ranking algorithm;heuristic filtering tactics;f-projects;s-projects;CNN;convolutional neural network;user feedback;labelled code fragments;review classification;real code-review pairs;diverse review themes;LDA-based ranking algorithm;sharing experience;autoencoder-based semisupervised learning strategy;novel code clone detection model;shared reviews;informative review;review sharing channel;review-based code improvement;sufficient review data;code quality;code review;deep semisupervised code clone detection,,2.0,,73.0,CCBY,14 Jan 2020,,,IEEE,IEEE Journals
A Feasibility Study of Using Code Clone Detection for Secure Programming Education,M. Menard; T. Nelson; M. Shahi; H. Morton; A. DeTavernier; H. Siy; R. Zhao; M. Song,"Dept. of Computer Science, University of Nebraska at Omaha, USA; Dept. of Computer Science, University of Nebraska at Omaha, USA; Dept. of Computer Science, University of Nebraska at Omaha, USA; Dept. of Computer Science, University of Nebraska at Omaha, USA; Dept. of Computer Science, University of Nebraska at Omaha, USA; Dept. of Computer Science, University of Nebraska at Omaha, USA; Dept. of Computer Science, University of Nebraska at Omaha, USA; Dept. of Computer Science, University of Nebraska at Omaha, USA","2022 IEEE 46th Annual Computers, Software, and Applications Conference (COMPSAC)",10 Aug 2022,2022,,,1502,1507,"Secure library reuse is critical for modern ap-plications to protect private information in software security engineering. Teaching secure programming is also more critical to tackle the challenges of new and evolving threats. However, novice students often make mistakes by API misuses due to a lack of understanding of secure libraries or a false sense of security. In this paper, we study the feasibility of applying code clone detection (CCD) for finding relevant examples to effectively teach secure programming to computer science students. CCD is an emerging new technology that extracts syntactically or semantically similar code fragments to support many software engineering tasks, such as program understanding, code quality analysis, software evolution analysis, and bug detection. We have developed a prototype implementation ExTUTOR that allows students to search for relevant examples as feedback when they want to fix their programming issues or vulnerabilities. In our evaluation, we applied ExTUTOR to open source subject applications in the security domain. Our approach should help novice students gain benefits from feedback and identify how to effectively make use of APIs, encouraging students to fix their own security violations in their own applications.",0730-3157,978-1-6654-8810-5,10.1109/COMPSAC54236.2022.00238,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9842461,Code Clone Detection;Computer Science Education;Secure Programming,Charge coupled devices;Codes;Education;Cloning;Software;Libraries;Velocity measurement,application program interfaces;computer aided instruction;computer science education;program debugging;program diagnostics;programming;reverse engineering;security of data;software engineering;software maintenance;teaching,program understanding;code quality analysis;software evolution analysis;bug detection;relevant examples;programming issues;security domain;novice students gain benefits;security violations;code clone detection;secure programming education;secure library reuse;modern ap-plications;private information;software security engineering;secure libraries;CCD;computer science students;semantically similar code fragments;software engineering tasks,,,,29.0,IEEE,10 Aug 2022,,,IEEE,IEEE Conferences
Transferring Code-Clone Detection and Analysis to Practice,Y. Dang; D. Zhang; S. Ge; R. Huang; C. Chu; T. Xie,"Microsoft Corporation, USA; Microsoft Research Asia, China; Microsoft Research Asia, China; Microsoft Research Asia, China; Microsoft Corporation, USA; University of Illinois at Urbana-Champaign, USA",2017 IEEE/ACM 39th International Conference on Software Engineering: Software Engineering in Practice Track (ICSE-SEIP),3 Jul 2017,2017,,,53,62,"During software development, code clones are commonly produced, in the form of a number of the same or similar code fragments spreading within one or many large code bases. Numerous research projects have been carried out on empirical studies or tool support for detecting or analyzing code clones. However, in practice, few such research projects have resulted in substantial industry adoption. In this paper, we report our experiences of transferring XIAO, a code-clone detection and analysis approach and its supporting tool, to road industrial practices: (1) shipped in Visual Studio 2012, a widely used industrial IDE, (2) deployed and intensively used at the Microsoft Security Response Center. According to our experiences, technology transfer is a rather complicated journey that needs significant efforts from both the technical aspect and social aspect. From the technical aspect, significant efforts are needed to adapt a research prototype to a product-quality tool that addresses the needs of real scenarios, to be integrated into a mainstream product or development process. From the social aspect, there are strong needs to interact with practitioners to identify killer scenarios in industrial settings, figure out the gap between a research prototype and a tool fitting the needs of real scenarios, to understand the requirements of releasing with a mainstream product, being integrated into a development process, understanding their release cadence, etc.",,978-1-5386-2717-4,10.1109/ICSE-SEIP.2017.6,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7965429,,Cloning;Visualization;Computer bugs;Tools;Security;Software;Electronic mail,program diagnostics;programming environments;social aspects of automation;software quality;source code (software),code-clone detection;code-clone analysis;software development;code fragments;tool support;XIAO;Visual Studio 2012;industrial IDE;Microsoft Security Response Center;social aspect;technical aspect;product-quality tool;tool fitting,,12.0,,21.0,,3 Jul 2017,,,IEEE,IEEE Conferences
Rearranging the order of program statements for code clone detection,Y. Sabi; Y. Higo; S. Kusumoto,"Graduate School of Information Science and Technology, Osaka University, Japan; Graduate School of Information Science and Technology, Osaka University, Japan; Graduate School of Information Science and Technology, Osaka University, Japan",2017 IEEE 11th International Workshop on Software Clones (IWSC),20 Mar 2017,2017,,,1,7,"A code clone is a code fragment identical or similar to another code fragment in source code. Some of code clones are considered as a factor of bug replications and make it more difficult to maintain software. Various code clone detection tools have been proposed so far. However, in most algorithms adopted by existing clone detection tools, if program statements are reordered, they are not detected as code clones. In this research, we examined how clone detection results change by rearranging the order of program statements. We performed preprocessing to rearranging the order of program statements using program dependency graph (PDG). We compared clone detection results with and without preprocessing. As a result, by rearranging the order of program statements, the number of detected code clones is almost the same in most projects. We classified newly detected or disappeared clones manually. From our experimental results, we show that there is no newly detected clone whose statements are reordered and that there are four disappeared clones whose statements are reordered. We think three out of the four clones occurred by copy-and-paste operations. Therefore, we conclude that rearranging the order of program statements is not effective to detect reordered code clones.",,978-1-5090-6595-0,10.1109/IWSC.2017.7880503,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7880503,,Cloning;Software algorithms;Software;Terminology;Computer bugs;Java;Information science,graph theory;program debugging;software tools;source code (software),program statement order rearrangement;code fragment;source code;bug replications;code clone detection tools;program dependency graph;PDG;copy-and-paste operations,,4.0,,14.0,,20 Mar 2017,,,IEEE,IEEE Conferences
Refactoring Code Clone Detection,Z. Sarkawt OTHMAN; M. KAYA,"Software Engineering, Firat University, Elazig, Turkey; Electrics Engineering, Adiyaman University, Adiyaman, Turkey",2019 7th International Symposium on Digital Forensics and Security (ISDFS),11 Jul 2019,2019,,,1,6,"Refactoring duplicate code is an important issue and is one of the most important smells in software maintenance. There is an important relationship between clones and code quality. Most programmers use clones because they are cheaper and faster than typing the program code. A cloning code is created by copying and pasting the existing code fragments of the source code with or without slight modifications. A major part (5% to 10%) of the source code for large computer programs consists of copy codes. Since cloning is believed to reduce the possibility of software maintenance, many techniques and cloning detection tools have been recommended for this purpose. The basic goal of clone detection is to identify the clone code and replace it with a single call to the function, where the function simulates the behavior of one instance of the clone group. This research provides an overview of the refactoring IDE. The aspects of cloning and detection of cloning are explained. In the copy detection algorithm, the source code is created in XML format.",,978-1-7281-2827-6,10.1109/ISDFS.2019.8757479,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8757479,Refactoring;Code Clone;Clone Detection,Cloning;Tools;Software maintenance;Detection algorithms;Maintenance engineering;Detectors,program compilers;software maintenance;XML,copy detection algorithm;source code;code clone detection;duplicate code;software maintenance;code quality;program code;cloning code;copy codes;clone group;code fragments,,,,19.0,,11 Jul 2019,,,IEEE,IEEE Conferences
Toxic Code Snippets on Stack Overflow,C. Ragkhitwetsagul; J. Krinke; M. Paixao; G. Bianco; R. Oliveto,"Computer Science, Faculty of Information and Communication Technology, Mahidol University, Salaya, Thailand; Computer Science, University College London, London, United Kingdom; Computer Science, Universidade Estadual do Ceara, Fortaleza, Brazil; Computer Science, Universita degli Studi del Molise, Campobasso, Italy; Department of Bioscience and Territory, University of Molise, Pesche, Italy",IEEE Transactions on Software Engineering,15 Mar 2021,2021,47.0,3.0,560,581,"Online code clones are code fragments that are copied from software projects or online sources to Stack Overflow as examples. Due to an absence of a checking mechanism after the code has been copied to Stack Overflow, they can become toxic code snippets, e.g., they suffer from being outdated or violating the original software license. We present a study of online code clones on Stack Overflow and their toxicity by incorporating two developer surveys and a large-scale code clone detection. A survey of 201 high-reputation Stack Overflow answerers (33 percent response rate) showed that 131 participants (65 percent) have ever been notified of outdated code and 26 of them (20 percent) rarely or never fix the code. 138 answerers (69 percent) never check for licensing conflicts between their copied code snippets and Stack Overflow's CC BY-SA 3.0. A survey of 87 Stack Overflow visitors shows that they experienced several issues from Stack Overflow answers: mismatched solutions, outdated solutions, incorrect solutions, and buggy code. 85 percent of them are not aware of CC BY-SA 3.0 license enforced by Stack Overflow, and 66 percent never check for license conflicts when reusing code snippets. Our clone detection found online clone pairs between 72,365 Java code snippets on Stack Overflow and 111 open source projects in the curated Qualitas corpus. We analysed 2,289 non-trivial online clone candidates. Our investigation revealed strong evidence that 153 clones have been copied from a Qualitas project to Stack Overflow. We found 100 of them (66 percent) to be outdated, of which 10 were buggy and harmful for reuse. Furthermore, we found 214 code snippets that could potentially violate the license of their original software and appear 7,112 times in 2,427 GitHub projects.",1939-3520,,10.1109/TSE.2019.2900307,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8643998,Code clone detection;stack overflow;outdated code;software licensing,Cloning;Licenses;Software;Programming;Computer bugs;Security;Tutorials,Java;public domain software;software reusability,toxic code snippets;online code clones;code fragments;large-scale code clone detection;high-reputation Stack Overflow answerers;outdated code;Stack Overflow answers;buggy code;Java code snippets;code snippet reusing;Stack Overflow's CC BY-SA 3.0 license;software project;curated Qualitas corpus;efficiency 20.0 percent;efficiency 69.0 percent;efficiency 85.0 percent;efficiency 66.0 percent;efficiency 33.0 percent;efficiency 65.0 percent,,28.0,,82.0,IEEE,19 Feb 2019,,,IEEE,IEEE Journals
InferCode: Self-Supervised Learning of Code Representations by Predicting Subtrees,N. D. Q. Bui; Y. Yu; L. Jiang,"School of Computing & Information Systems, Singapore Management Univerity; School of Computing & Communications, The Open University, UK; School of Computing & Information Systems, Singapore Management Univerity",2021 IEEE/ACM 43rd International Conference on Software Engineering (ICSE),7 May 2021,2021,,,1186,1197,"Learning code representations has found many uses in software engineering, such as code classification, code search, comment generation, and bug prediction, etc. Although representations of code in tokens, syntax trees, dependency graphs, paths in trees, or the combinations of their variants have been proposed, existing learning techniques have a major limitation that these models are often trained on datasets labeled for specific downstream tasks, and as such the code representations may not be suitable for other tasks. Even though some techniques generate representations from unlabeled code, they are far from being satisfactory when applied to the downstream tasks. To overcome the limitation, this paper proposes InferCode, which adapts the self-supervised learning idea from natural language processing to the abstract syntax trees (ASTs) of code. The novelty lies in the training of code representations by predicting subtrees automatically identified from the contexts of ASTs. With InferCode, subtrees in ASTs are treated as the labels for training the code representations without any human labelling effort or the overhead of expensive graph construction, and the trained representations are no longer tied to any specific downstream tasks or code units. We have trained an instance of InferCode model using Tree-Based Convolutional Neural Network (TBCNN) as the encoder of a large set of Java code. This pre-trained model can then be applied to downstream unsupervised tasks such as code clustering, code clone detection, cross-language code search, or be reused under a transfer learning scheme to continue training the model weights for supervised tasks such as code classification and method name prediction. Compared to prior techniques applied to the same downstream tasks, such as code2vec, code2seq, ASTNN, using our pre-trained InferCode model higher performance is achieved with a significant margin for most of the tasks, including those involving different programming languages. The implementation of InferCode and the trained embeddings are available at the link: https://github.com/bdqnghi/infercode.",1558-1225,978-1-6654-0296-5,10.1109/ICSE43902.2021.00109,Ministry of Education; Royal Society; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9402028,code search;self supervised;code clone detection;cross language;fine tuning;code retrieval;unlabel data;unlabelled data,Training;Computer bugs;Cloning;Predictive models;Syntactics;Task analysis;Software engineering,computational linguistics;convolutional neural nets;Java;supervised learning;trees (mathematics),pre-trained InferCode model;subtrees prediction;trained representations;unlabeled code;specific downstream tasks;code representations;code2seq;code classification;cross-language code search;code clone detection;code clustering;Java code;code units,,10.0,,71.0,,7 May 2021,,,IEEE,IEEE Conferences
GENES ISP: code analysis platform,S. Sargsyan; V. Vardanyan; H. Aslanyan; M. Harutunyan; M. Mehrabyan; K. Sargsyan; H. Hovahannisyan; H. Movsisyan; J. Hakobyan; S. Kurmangaleev,"Russian-Armenian Slavonic University, Yerevan, Armenia; Russian-Armenian Slavonic University, Yerevan, Armenia; Russian-Armenian Slavonic University, Yerevan, Armenia; Russian-Armenian Slavonic University, Yerevan, Armenia; Russian-Armenian Slavonic University, Yerevan, Armenia; Russian-Armenian Slavonic University, Yerevan, Armenia; Russian-Armenian Slavonic University, Yerevan, Armenia; Russian-Armenian Slavonic University, Yerevan, Armenia; Russian-Armenian Slavonic University, Yerevan, Armenia; ISP RAS, Moscow, Russia",2020 Ivannikov Ispras Open Conference (ISPRAS),12 Apr 2021,2020,,,35,39,"In this paper we present a novel code analysis platform referred as “GENESISP”. Its aim is to collect vast database of open source software and apply several integrated analyses. This analysis allows to understand relations within source and binary code, as well as detect existing defects. All the analyses are compatible with each other and can be combined, which provides more robust possibilities. In the first stage the framework tries to collect, process and store software related data into database. Various open source resources are used for that purpose. For open source software, we collect and store: source and binary code, debug information, build dependencies, linker commands, confirmed CVE and their possible fixes, etc. For operating systems distributions, we additionally store the list of available software packages. In the second stage the tool performs various analysis: source code clone detection, binary code clone detection, source/binary fragments search, statically linked libraries identification in binaries, unfixed CVE search, source and binary code matching, patch analysis, etc. We provide web interface for convenient use of the provided analyses. Beside it, there is an interactive terminal which enables users to query the database and combine the results of different analysis. We were able to find number of confirmed CVE in mainstream versions of different open source software, which proves the effectiveness of proposed platform.",,978-1-6654-1291-9,10.1109/ISPRAS51486.2020.00012,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9394122,GENESISP;code analysis;code clones;patch analysis;code query;binary code analysis;vulnerability detection,Databases;Operating systems;Cloning;Binary codes;Tools;Libraries;Open source software,binary codes;Internet;operating systems (computers);program compilers;program debugging;program diagnostics;public domain software;software libraries;software maintenance;software packages;source code (software);source coding,source code clone detection;binary code clone detection;binary code matching;patch analysis;provided analyses;different analysis;confirmed CVE;different open source software;GENES ISP;code analysis platform;vast database;integrated analyses;store software;open source resources;available software packages,,1.0,,34.0,,12 Apr 2021,,,IEEE,IEEE Conferences
Tracking Method-Level Clones and a Case Study,K. Uemura; A. Mori; E. Choi; H. Iida,"Nara Institute of Science and Technology, Japan; National Institute of Advanced Industrial Science and Technology, Japan; Nara Institute of Science and Technology, Japan; Nara Institute of Science and Technology, Japan",2019 IEEE 13th International Workshop on Software Clones (IWSC),14 Mar 2019,2019,,,27,33,"Analyzing histories of code clones is important for understanding how they affect software development and developers. For this, many studies have been devoted to the approach of tracking code clones. However, to the best of our knowledge, no existing studies have attempted to track code clones in long-term and fine-grained change histories.In this paper, we report on the analysis of histories of method-level code clones hosted by a fine-grained version control system called historage, which allowed us to track source code entities across commits.We have tracked and analyzed method-level code clones in 10 open source software projects and found out that (1) in many projects, method-level code clones are removed regardless of whether they were changed or how frequently they were changed, and (2) a group of method-level code clones created at the same time tend to survive longer than those created individually. We believe that these findings will provide useful insights for future research on code clones such as determining the priority of code clone management.",2572-6587,978-1-7281-1805-5,10.1109/IWSC.2019.8665851,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8665851,code clone;code clone detection;code clone genealogy;mining software repository,Cloning;History;Syntactics;Software;Target tracking;Tools,configuration management;project management;public domain software;software maintenance;software management;source coding,method-level code clones;source code entities;code clone management;software project management;open source software projects;historage;version control system;software development;code clone tracking,,2.0,,16.0,,14 Mar 2019,,,IEEE,IEEE Conferences
MoCoP: Towards a Model Clone Portal,Ö. Babur; M. Stephan,"Dept. of Mathematics & Computer Science, Eindhoven University of Technology, Eindhoven, The Netherlands; Dept. of Computer Science & Software Engineering, Miami University, Oxford, Ohio, USA",2019 IEEE/ACM 11th International Workshop on Modelling in Software Engineering (MiSE),21 Oct 2019,2019,,,78,81,"Widespread and mature practice of model-driven engineering is leading to a growing number of modeling artifacts and challenges in their management. Model clone detection (MCD) is an important approach for managing and maintaining modeling artifacts. While its counterpart in traditional source code development, code clone detection, is enjoying popularity and more than two decades of development, MCD is still in its infancy in terms of research and tooling. We aim to develop a portal for model clone detection, MoCoP, as a central hub to mitigate adoption barriers and foster MCD research. In this short paper, we present our vision for MoCoP and its features and goals. We discuss MoCoP's key components that we plan on realizing in the short term including public tooling, curated data sets, and a body of MCD knowledge. Our longer term goals include a dedicated service-oriented infrastructure, contests, and forums. We believe MoCoP will strengthen MCD research, tooling, and the community, which in turn will lead to better quality, maintenance, and scalability for model-driven engineering practices.",2575-4475,978-1-7281-2231-1,10.1109/MiSE.2019.00019,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8877032,"model-driven engineering, model clone detection, model analytics, software maintenance, model management, model repositories",Unified modeling language;Cloning;Tools;Analytical models;Portals;Charge coupled devices;Software,portals;software architecture;software maintenance,managing maintaining modeling artifacts;traditional source code development;code clone detection;model clone detection;foster MCD research;MCD knowledge;model-driven engineering practices;model clone portal;mature practice;MoCoP key components,,,,34.0,,21 Oct 2019,,,IEEE,IEEE Conferences
