Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
CCFinderX: An Interactive Code Clone Analysis Environment,Code Clone Analysis,,,,10.1007/978-981-16-1927-4_2,Toshihiro Kamiya,2021,http://link.springer.com/chapter/10.1007/978-981-16-1927-4_2,Chapter
Source Code Clone Search,Code Clone Analysis,,,,10.1007/978-981-16-1927-4_9,Iman KeivanlooJuergen Rilling,2021,http://link.springer.com/chapter/10.1007/978-981-16-1927-4_9,Chapter
An approach to clone detection in sequence diagrams and its application to security analysis,Software & Systems Modeling,,17.0,4.0,10.1007/s10270-016-0557-6,Manar H. AlalfiElizabeth P. AntonyJames R. Cordy,2018,http://link.springer.com/article/10.1007/s10270-016-0557-6,Article
Mutation Testing-Based Evaluation Framework for Evaluating Software Clone Detection Tools,Reliability and Risk Assessment in Engineering,,,,10.1007/978-981-15-3746-2_3,Pratiksha GautamHemraj Saini,2020,http://link.springer.com/chapter/10.1007/978-981-15-3746-2_3,Chapter
ICT Systems Security and Privacy Protection,IFIP Advances in Information and Communication Technology,,,,10.1007/978-3-031-06975-8,Dr. Weizhi MengSimone Fischer-HübnerDr. Christian D. Jensen,2022,http://link.springer.com/book/10.1007/978-3-031-06975-8,Book
ICT Systems Security and Privacy Protection,IFIP Advances in Information and Communication Technology,,,,10.1007/978-3-030-78120-0,Prof. Audun JøsangLynn FutcherJanne Hagen,2021,http://link.springer.com/book/10.1007/978-3-030-78120-0,Book
Reuse and Software Quality,Lecture Notes in Computer Science,,,,10.1007/978-3-031-08129-3,Gilles PerrouinDr. Naouel MohaAbdelhak-Djamel Seriai,2022,http://link.springer.com/book/10.1007/978-3-031-08129-3,Book
"Parallel and Distributed Computing, Applications and Technologies",Lecture Notes in Computer Science,,,,10.1007/978-3-030-96772-7,Hong ShenDr. Yingpeng SangYong ZhangNong XiaoDr. Hamid R. ArabniaGeoffrey FoxProf. Ajay GuptaManu Malek,2022,http://link.springer.com/book/10.1007/978-3-030-96772-7,Book
"Clones in deep learning code: what, where, and why?",Empirical Software Engineering,,27.0,4.0,10.1007/s10664-021-10099-x,Hadhemi JebnounMd Saidur RahmanFoutse KhomhBiruk Asmare Muse,2022,http://link.springer.com/article/10.1007/s10664-021-10099-x,Article
Data Science,Communications in Computer and Information Science,,,,10.1007/978-981-16-5940-9,Jianchao ZengPinle QinWeipeng JingProf. Xianhua SongZeguang Lu,2021,http://link.springer.com/book/10.1007/978-981-16-5940-9,Book
