Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
98VMXQJY,conferencePaper,2017,"Hu, Yikun; Zhang, Yuanyuan; Li, Juanru; Gu, Dawu",Binary Code Clone Detection across Architectures and Compiling Configurations,Proceedings of the 25th International Conference on Program Comprehension,978-1-5386-0535-6,,10.1109/ICPC.2017.22,https://doi.org/10.1109/ICPC.2017.22,"Binary code clone detection (or similarity comparison) is a fundamental technique for many important applications, such as plagiarism detection, malware analysis, software vulnerability assessment and program comprehension. With the prevailing of smart and IoT (Internet of Things) devices, more and more programs are ported from traditional desktop platforms (e.g., IA-32) to ARM and MIPS architectures. It becomes imperative to detect cloned binary code across architectures. However, because of incomparable instruction sets of different architectures as well as alternative compiling configurations, it is difficult to conduct a binary code clone detection with traditional syntax- or structure-based methods.To address, we propose a semantics-based approach to fulfill the target. We recognize arguments and indirect jump targets of each binary function, and emulate executions of those functions, extracting semantic signatures to measure the similarity of functions. The approach has been implemented in a prototype system named CACompare to detect cloned binary functions across architectures and compiling configurations. It supports comparisons between mainstream architectures (IA-32, ARM and MIPS) and is able to analyse binaries on the Linux platform. The experimental results show that CACompare not only is effective in dealing with binaries of different architectures and variant compiling configurations, but also improves the accuracy of binary code clone detection comparing to state-of-the-art solutions.",2017,2022-10-16 23:12:58,2022-10-16 23:12:58,,88–98,,,,,,,ICPC '17,,,,IEEE Press,,,,,,,,,"event-place: Buenos Aires, Argentina",,,,code clone detection; binary program analysis; reverse engineering; static analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UIWF3QC5,conferencePaper,2022,"Huang, Cheng; Zhou, Hui; Ye, Chunyang; Li, Bingzhuo",Code Clone Detection Based on Event Embedding and Event Dependency,Proceedings of the 13th Asia-Pacific Symposium on Internetware,978-1-4503-9780-3,,10.1145/3545258.3545277,https://doi.org/10.1145/3545258.3545277,"The code clone detection method based on semantic similarity has important value in software engineering tasks (e.g., software evolution, software reuse). Traditional code clone detection technologies pay more attention to the similarity of code at the syntax level, and less attention to the semantic similarity of the code. As a result, candidate codes similar in semantics are ignored. To address this issue, we propose a code clone detection method based on semantic similarity. By treating code as a series of interdependent events that occur continuously, we design a model namely EDAM to encode code semantic information based on event embedding and event dependency. The EDAM model uses the event embedding method to model the execution characteristics of program statements and the data dependence information between all statements. In this way, we can embed the program semantic information into a vector and use the vector to detect codes similar in semantics. Experimental results show that the performance of our EDAM model is superior to state-of-the-art open source models for code clone detection.",2022,2022-10-16 23:12:58,2022-10-16 23:12:58,,65–74,,,,,,,Internetware '22,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,"event-place: Hohhot, China",,,,code clone detection; event dependency; event embedding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6HL2Q9CZ,conferencePaper,2020,"Svacina, Jan; Simmons, Jonathan; Cerny, Tomas",Semantic Code Clone Detection for Enterprise Applications,Proceedings of the 35th Annual ACM Symposium on Applied Computing,978-1-4503-6866-7,,10.1145/3341105.3374117,https://doi.org/10.1145/3341105.3374117,"Enterprise systems are widely adopted across industries as methods of solving complex problems. As software complexity increases, the software's codebase becomes harder to manage and maintenance costs raise significantly. One such source of cost-raising complexity and code bloat is that of code clones. We proposed an approach to identify semantic code clones in enterprise frameworks by using control flow graphs (CFGs) and applying various proprietary similarity functions to compare enterprise targeted metadata for each pair of CFGs. This approach enables us to detect semantic code clones with high accuracy within a time complexity of O(n2) where n is equal to the number of CFGs composed in the enterprise application (usually around hundreds). We demonstrated our solution on a blind study utilizing a production enterprise application.",2020,2022-10-16 23:12:58,2022-10-16 23:12:58,,129–131,,,,,,,SAC '20,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,"event-place: Brno, Czech Republic",,,,code clone detection; enterprise software; semantic clone; software engineering; source code analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLTJB5T5,journalArticle,2020,"Walker, Andrew; Cerny, Tomas",On Cloud Computing Infrastructure for Existing Code-Clone Detection Algorithms,SIGAPP Appl. Comput. Rev.,,1559-6915,10.1145/3392350.3392351,https://doi.org/10.1145/3392350.3392351,"Microservice Architecture (MSA) is becoming a design standard for modern cloud-based software systems. However, even though cloud-based applications have been thoroughly explored with regards to networking, scalability, and decomposition of existing monolithic applications into MSA based applications, not much research has been done showing the viability of MSA in new problem domains. In this paper, we explore the application of MSA to the code-clone detection problem domain to identify any improvements that can be made over existing local code-clone detection applications. A fragment of source code that is identical or similar to another is a code-clone. Code-clones make it difficult to maintain applications as they create multiple points within the code that bugs must be fixed, new rules enforced, or design decisions imposed. As applications grow larger and larger, the pervasiveness of code-clones likewise grows. To face the code-clone related issues, many tools and algorithms have been proposed to find and document code-clones within an application. In this paper, we show that many improvements can be made by utilizing emerging cloud-based technologies.",2020-04,2022-10-16 23:12:58,2022-10-16 23:12:58,,5–14,,1.0,20.0,,,,,,,,,,,,,,,,,"Place: New York, NY, USA Publisher: Association for Computing Machinery",,,,clone detection; cloud computing; code clone; microservices; scalable code clone detection; software as a service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XMFR8TRI,conferencePaper,2020,"Fang, Chunrong; Liu, Zixi; Shi, Yangyang; Huang, Jeff; Shi, Qingkai",Functional Code Clone Detection with Syntax and Semantics Fusion Learning,Proceedings of the 29th ACM SIGSOFT International Symposium on Software Testing and Analysis,978-1-4503-8008-9,,10.1145/3395363.3397362,https://doi.org/10.1145/3395363.3397362,"Clone detection of source code is among the most fundamental software engineering techniques. Despite intensive research in the past decade, existing techniques are still unsatisfactory in detecting ""functional"" code clones. In particular, existing techniques cannot efficiently extract syntax and semantics information from source code. In this paper, we propose a novel joint code representation that applies fusion embedding techniques to learn hidden syntactic and semantic features of source codes. Besides, we introduce a new granularity for functional code clone detection. Our approach regards the connected methods with caller-callee relationships as a functionality and the method without any caller-callee relationship with other methods represents a single functionality. Then we train a supervised deep learning model to detect functional code clones. We conduct evaluations on a large dataset of C++ programs and the experimental results show that fusion learning can significantly outperform the state-of-the-art techniques in detecting functional code clones.",2020,2022-10-16 23:12:58,2022-10-16 23:12:58,,516–527,,,,,,,ISSTA 2020,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,"event-place: Virtual Event, USA",,,,Code clone detection; code representation; functional clone detection; syntax and semantics fusion learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAGQNY2A,conferencePaper,2019,"Ul Ain, Qurat; Azam, Farooque; Anwar, Muhammad Waseem; Kiran, Ayesha",A Model-Driven Approach for Token Based Code Clone Detection Techniques - An Introduction to UMLCCD,Proceedings of the 2019 8th International Conference on Educational and Information Technology,978-1-4503-6267-2,,10.1145/3318396.3318440,https://doi.org/10.1145/3318396.3318440,"Reusing code through copy and paste is a well-known process in software development. The replicated code is known as code clone and the process is known as code cloning. Software clones can cause bug propagation and severe issues related to maintenance. Code clone detection process consist of many steps, which is complex to some extent for user to perform. Therefore, we are trying to propose a generic approach for code clone detection approaches at model level. This study particularly presents Unified Modeling Language profile for Code Clone Detection (UMLCCD) to model the process of token-based code clone detection approaches as token-based approaches has good execution time while maintaining high precision and recall. It automate the clone detection process of token-based approaches which is helpful for user because user simply gives input and whole process is done automatically. It can be used for source code of various programming languages. The proposed UML profile provides the bases to transform the UMLCCD source model into required text. The applicability of UMLCCD is validated by taking 484 lines of source code of Library Management System case study.",2019,2022-10-16 23:12:58,2022-10-16 23:12:58,,312–317,,,,,,,ICEIT 2019,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,"event-place: Cambridge, United Kingdom",,,,Code clone detection; MDA; Token based approaches; UMLCCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83A2IP8B,conferencePaper,2022,"Huang, Jun",Code Clone Detection Based on Doc2vec Model and Bagging,Proceedings of the 2022 2nd International Conference on Control and Intelligent Robotics,978-1-4503-9717-9,,10.1145/3548608.3559280,https://doi.org/10.1145/3548608.3559280,"For software analysis and maintenance, the code clone detection has an important role. In order to improve the detection rate of code clone, this paper proposes a code cloning detection method based on Doc2vec model and bagging. Firstly, method converts the code into token sequence and abstract syntax tree sequence. Then, the Doc2vec model is used to learn the lexical and grammatical information of the code respectively. Finally, bagging algorithm is used to detect the cloning of code pairs. The results show that the accuracy and recall of the code clone detection method based on Doc2vec model and bagging is better than that of sourcerercc and tree LSTM on bigclonebench data set.",2022,2022-10-16 23:12:58,2022-10-16 23:12:58,,649–653,,,,,,,ICCIR '22,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,"event-place: Nanjing, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPV9LPE4,journalArticle,2020,"Walker, Andrew; Cerny, Tomas; Song, Eungee","Open-Source Tools and Benchmarks for Code-Clone Detection: Past, Present, and Future Trends",SIGAPP Appl. Comput. Rev.,,1559-6915,10.1145/3381307.3381310,https://doi.org/10.1145/3381307.3381310,"A fragment of source code that is identical or similar to another is a code-clone. Code-clones make it difficult to maintain applications as they create multiple points within the code that bugs must be fixed, new rules enforced, or design decisions imposed. As applications grow larger and larger, the pervasiveness of code-clones likewise grows. To face the code-clone related issues, many tools and algorithms have been proposed to find and document code-clones within an application. In this paper, we present the historical trends in code-clone detection tools to show how we arrived at the current implementations. We then present our results from a systematic mapping study on current (2009-2019) code-clone detection tools with regards to technique, open-source nature, and language coverage. Lastly, we propose future directions for code-clone detection tools. This paper provides the essentials to understanding the code-clone detection process and the current state-of-art solutions.",2020-01,2022-10-16 23:12:58,2022-10-16 23:12:58,,28–39,,4.0,19.0,,,,,,,,,,,,,,,,,"Place: New York, NY, USA Publisher: Association for Computing Machinery",,,,clone detection; code clone; mapping study; survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAZ7U9UX,conferencePaper,2019,"Elkhail, Abdulrahman Abu; Svacina, Jan; Cerny, Tomas",Intelligent Token-Based Code Clone Detection System for Large Scale Source Code,Proceedings of the Conference on Research in Adaptive and Convergent Systems,978-1-4503-6843-8,,10.1145/3338840.3355654,https://doi.org/10.1145/3338840.3355654,"A code clone refers to code fragments in the source code that are identical or similar to each other. Code clones lead difficulties in software maintenance, bug fixing, present poor design and increase the system size. Code clone detection techniques and tools have been proposed by many researchers, however, there is a lack of clone detection techniques especially for large scale repositories. In this paper, we present a token-based clone detector called Intelligent Clone Detection Tool (ICDT) that can detect both exact and near-miss clones from large repositories using a standard workstation environment. In order to evaluate the scalability and the efficiency of ICDT, we use the most recent benchmark which is a big benchmark of real clones, BigCloneBench. In addition, we compare ICDT to four publicly available and state-of-the-art tools.",2019,2022-10-16 23:12:58,2022-10-16 23:12:58,,256–260,,,,,,,RACS '19,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,"event-place: Chongqing, China",,,,clone detection; code clone; BigCloneBench; case study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8FTUWLZA,conferencePaper,2019,"Nafi, Kawser Wazed; Kar, Tonny Shekha; Roy, Banani; Roy, Chanchal K.; Schneider, Kevin A.",CLCDSA: Cross Language Code Clone Detection Using Syntactical Features and API Documentation,Proceedings of the 34th IEEE/ACM International Conference on Automated Software Engineering,978-1-72812-508-4,,10.1109/ASE.2019.00099,https://doi.org/10.1109/ASE.2019.00099,"Software clones are detrimental to software maintenance and evolution and as a result many clone detectors have been proposed. These tools target clone detection in software applications written in a single programming language. However, a software application may be written in different languages for different platforms to improve the application's platform compatibility and adoption by users of different platforms. Cross language clones (CLCs) introduce additional challenges when maintaining multi-platform applications and would likely go undetected using existing tools. In this paper, we propose CLCDSA, a cross language clone detector which can detect CLCs without extensive processing of the source code and without the need to generate an intermediate representation. The proposed CLCDSA model analyzes different syntactic features of source code across different programming languages to detect CLCs. To support large scale clone detection, the CLCDSA model uses an action filter based on cross language API call similarity to discard non-potential clones. The design methodology of CLCDSA is twofold: (a) it detects CLCs on the fly by comparing the similarity of features, and (b) it uses a deep neural network based feature vector learning model to learn the features and detect CLCs. Early evaluation of the model observed an average precision, recall and F-measure score of 0.55, 0.86, and 0.64 respectively for the first phase and 0.61, 0.93, and 0.71 respectively for the second phase which indicates that CLCDSA outperforms all available models in detecting cross language clones.",2019,2022-10-16 23:12:58,2022-10-16 23:12:58,,1026–1037,,,,,,,ASE '19,,,,IEEE Press,,,,,,,,,"event-place: San Diego, California",,,,code clone; API documentation; source code syntax; Word2Vector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
