Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Code Clone Analysis,,,,,10.1007/978-981-16-1927-4,Dr. Katsuro InoueChanchal K. Roy,2021,http://link.springer.com/book/10.1007/978-981-16-1927-4,Book
Code Clone Detection—A Systematic Review,Emerging Technologies in Data Mining and Information Security,,,,10.1007/978-981-33-4367-2_61,G. ShobhaAjay RanaVineet KansalSarvesh Tanwar,2021,http://link.springer.com/chapter/10.1007/978-981-33-4367-2_61,Chapter
FastDCF: A Partial Index Based Distributed and Scalable Near-Miss Code Clone Detection Approach for Very Large Code Repositories,"Parallel and Distributed Computing, Applications and Technologies",,,,10.1007/978-3-030-96772-7_20,Liming YangYi RenJianbo GuanBao LiJun MaPeng HanYusong Tan,2022,http://link.springer.com/chapter/10.1007/978-3-030-96772-7_20,Chapter
A Study of Code Clone Detection Techniques in Software Systems,"Proceedings of the International Conference on Paradigms of Computing, Communication and Data Sciences",,,,10.1007/978-981-15-7533-4_27,Utkarsh SinghKuldeep KumarDeepakKumar Gupta,2021,http://link.springer.com/chapter/10.1007/978-981-15-7533-4_27,Chapter
AndroClonium: Bytecode-Level Code Clone Detection for Obfuscated Android Apps,ICT Systems Security and Privacy Protection,,,,10.1007/978-3-031-06975-8_22,Ardalan ForoughipourNatalia StakhanovaFarzaneh AbazariBahman Sistany,2022,http://link.springer.com/chapter/10.1007/978-3-031-06975-8_22,Chapter
Efficiency and Precision Enhancement of Code Clone Detection Using Hybrid Technique-Based Web Tool,Computational Network Application Tools for Performance Management,,,,10.1007/978-981-32-9585-8_19,Ginika Mahajan,2020,http://link.springer.com/chapter/10.1007/978-981-32-9585-8_19,Chapter
QuickBCC: Quick and Scalable Binary Vulnerable Code Clone Detection,ICT Systems Security and Privacy Protection,,,,10.1007/978-3-030-78120-0_5,Hajin JangKyeongseok YangGeonwoo LeeYoonjong NaJeremy D. SeidemanShoufu LuoHeejo LeeSven Dietrich,2021,http://link.springer.com/chapter/10.1007/978-3-030-78120-0_5,Chapter
Anti-obfuscation Binary Code Clone Detection Based on Software Gene,Data Science,,,,10.1007/978-981-16-5940-9_15,Ke TangFudong LiuZheng ShanChunyan Zhang,2021,http://link.springer.com/chapter/10.1007/978-981-16-5940-9_15,Chapter
Semantic code clone detection for Internet of Things applications using reaching definition and liveness analysis,The Journal of Supercomputing,,74.0,9.0,10.1007/s11227-016-1832-6,Rajkumar TekchandaniRajesh BhatiaManinder Singh,2018,http://link.springer.com/article/10.1007/s11227-016-1832-6,Article
Siamese: scalable and incremental code clone search via multiple code representations,Empirical Software Engineering,,24.0,4.0,10.1007/s10664-019-09697-7,Chaiyong RagkhitwetsagulJens Krinke,2019,http://link.springer.com/article/10.1007/s10664-019-09697-7,Article
Pyclone: A Python Code Clone Test Bank Generator,Information Science and Applications,,,,10.1007/978-981-33-6385-4_22,Schaeffer DuncanAndrew WalkerCaleb DeHaanStephanie AlvordTomas CernyPavel Tisnovsky,2021,http://link.springer.com/chapter/10.1007/978-981-33-6385-4_22,Chapter
Introduction to Code Clone Analysis,Code Clone Analysis,,,,10.1007/978-981-16-1927-4_1,Katsuro Inoue,2021,http://link.springer.com/chapter/10.1007/978-981-16-1927-4_1,Chapter
"A Survey on Code Clone, Its Behavior and Applications",Networking Communication and Data Knowledge Engineering,,,,10.1007/978-981-10-4600-1_3,Aakanshi GuptaBharti Suri,2018,http://link.springer.com/chapter/10.1007/978-981-10-4600-1_3,Chapter
Implementation of Analytical Hierarchy Process in Detecting Structural Code Clones,Computational Science and Its Applications – ICCSA 2017,,,,10.1007/978-3-319-62404-4_48,Mehmet S. AktasMustafa Kapdan,2017,http://link.springer.com/chapter/10.1007/978-3-319-62404-4_48,Chapter
